"log_annual_income","debt_to_income","delinq_2y","num_collections_last_12m","num_historical_failed_to_pay","total_collection_amount_ever","num_cc_carrying_balance","account_never_delinq_percent","tax_liens","loan_amount","term","interest_rate","grade","log_total_credit_utilized","loan_status"
12.25486757159303,9.53,0,0,0,0,2,100.0,0,5000,0,26.77,5,11.20783948598991,0
11.326607934898927,18.44,3,0,0,0,3,63.6,0,20000,1,15.05,3,10.583625478502434,0
11.849404844423074,13.82,0,0,0,0,3,100.0,0,15000,1,9.93,2,11.15120926379208,0
11.156264806643742,0.0,0,0,0,0,1,92.3,0,2400,0,6.08,1,4.532599493153256,0
10.691967639914864,24.77,0,0,0,167,5,100.0,0,7200,0,14.08,3,10.614155346814062,0
10.596659732783579,19.44,0,0,1,148,8,100.0,0,16000,1,25.82,5,9.766865674993165,0
10.839600519357369,17.25,0,0,1,0,4,100.0,0,12000,0,15.05,3,10.561240688896971,0
11.350418300109132,26.49,0,0,0,0,10,100.0,0,25000,0,6.72,1,10.883541505080103,0
12.669809806411457,8.37,0,0,1,0,2,100.0,0,25000,1,19.03,4,11.417988215618697,0
11.385103457032141,13.04,0,0,0,0,4,100.0,0,10000,0,7.97,1,10.086725356114435,0
11.141876276228,27.74,0,0,0,0,8,95.7,0,10000,0,19.42,4,10.792180957218179,0
11.338583982516495,7.57,0,0,0,0,1,100.0,0,35000,1,11.99,2,10.482989997850549,1
11.350418300109132,21.22,0,0,0,0,4,95.0,0,24000,1,19.42,4,10.969783239727695,1
9.575052927597383,3.83,0,0,0,0,1,100.0,0,5000,0,15.05,3,7.741099090035366,1
11.775297421715827,9.53,0,0,0,0,1,100.0,0,14000,0,6.08,1,9.979522238812125,0
10.915106645867503,23.88,0,0,0,0,5,95.0,0,20000,0,14.08,3,10.449757537235314,0
9.90353755128617,34.72,0,0,1,0,1,76.9,0,5000,0,6.72,1,10.299508201816293,0
11.127277689932466,11.22,1,0,0,822,4,85.3,0,4000,0,9.93,2,10.109607012844542,0
10.491301994830229,4.87,0,0,0,0,1,75.0,0,7000,0,20.0,4,7.356918242356021,1
10.62135173563291,41.51,0,0,0,0,3,93.5,0,32000,1,21.45,4,11.375810516214353,1
11.350418300109132,26.03,0,0,0,0,5,100.0,0,30000,0,7.97,1,11.139235148586208,0
10.714439990727769,8.29,0,0,0,1140,4,83.3,0,11000,0,12.61,3,9.06750872286864,0
10.085850775128717,4.4,0,0,0,0,0,100.0,0,6025,0,10.9,2,9.355738574665539,1
11.289794413577894,10.72,0,0,0,0,5,75.0,0,13000,1,21.85,4,9.721965675912738,0
11.350418300109132,13.0,0,0,0,0,3,100.0,0,24000,0,9.93,2,11.150462373406606,0
11.002116507732017,16.34,0,0,1,0,6,82.4,0,13500,1,14.08,3,10.329767847024877,0
12.04355959836804,12.47,0,0,0,0,1,100.0,0,2000,0,15.05,3,10.8240093209381,0
11.362114203075018,14.26,1,0,0,0,12,96.2,0,21000,0,15.05,3,10.41000390471402,0
11.082157933374816,21.62,0,0,0,0,6,89.7,0,9500,0,10.42,2,10.989504181217818,0
12.206077645517674,16.96,0,0,0,0,6,100.0,0,30000,0,19.03,4,11.998039357020318,0
11.06665398721974,31.58,0,0,0,0,7,100.0,0,14000,1,17.09,4,11.107795300762092,1
11.177466714598282,20.98,0,0,1,0,2,100.0,1,16175,0,30.75,6,11.522202301750438,1
11.127277689932466,18.23,0,0,1,0,2,100.0,0,10000,1,18.06,4,10.775031932997871,1
11.184435286790631,23.47,0,0,0,0,10,97.1,0,4000,0,15.05,3,10.986258358206882,0
11.06665398721974,1.03,0,0,0,0,2,86.7,0,23000,0,6.72,1,6.818924065275521,0
11.775297421715827,7.91,0,0,1,0,7,100.0,0,12000,1,9.92,2,9.72913416539135,0
11.225256725762893,20.7,0,0,0,0,3,100.0,0,10000,0,7.35,1,11.139031695699382,0
11.918397239722838,9.16,1,0,0,0,6,96.2,0,18000,1,9.44,2,11.48047458469972,0
11.407576060361786,11.57,0,0,1,0,4,92.3,1,11000,1,16.02,3,9.977852634491434,0
11.156264806643742,10.97,0,0,0,0,3,100.0,0,15000,1,13.59,3,10.446334962324856,0
11.002116507732017,33.53,0,0,0,0,4,100.0,0,7500,0,21.45,4,11.577598352080289,0
11.849404844423074,10.47,1,0,0,0,7,87.0,0,21000,0,9.93,2,10.180133955367644,1
11.170449240431308,19.74,0,0,0,0,8,100.0,0,12000,0,5.32,1,10.634123177507066,0
10.968215530759236,25.32,0,0,0,115,5,100.0,0,9600,0,15.05,3,10.164889815967427,1
10.819798284210286,29.67,0,0,0,0,5,100.0,0,6000,0,11.98,2,10.541016309333061,1
11.185823192802378,30.78,1,0,0,0,9,94.4,0,12000,0,12.62,3,11.771768151338593,0
11.034905792929415,14.52,1,0,0,0,0,96.4,0,17000,1,13.59,3,9.910165207289369,0
10.39821428171237,29.09,0,0,1,0,7,100.0,0,3800,0,7.35,1,10.17945123203371,0
11.775297421715827,0.09,0,0,0,0,1,100.0,0,10000,0,7.35,1,2.3978952727983707,0
10.596659732783579,2.97,0,0,0,148,2,100.0,0,6000,0,10.42,2,8.271036865792954,0
10.839600519357369,22.66,0,0,0,0,4,100.0,0,20000,0,17.47,4,11.599772661816369,0
11.156264806643742,39.43,0,0,0,0,14,100.0,0,16000,1,17.09,4,11.58412922397656,0
11.711784520403112,24.59,0,0,0,51,7,96.7,0,28000,1,15.04,3,11.875782261821751,0
10.596659732783579,26.19,0,0,0,390,5,90.0,0,3000,0,11.98,2,11.314425744568778,0
11.552155793461898,13.39,0,0,0,0,5,100.0,0,35000,1,19.03,4,10.854624056835881,0
12.250094315624496,19.76,0,0,0,0,10,94.9,0,24000,1,11.99,2,11.830527924769216,0
12.206077645517674,8.41,1,0,0,0,8,95.2,0,17000,0,23.88,5,10.640819068607131,0
11.542493975902508,6.58,0,0,0,0,5,97.2,0,30000,0,7.35,1,10.2176411421937,0
11.918397239722838,12.78,0,0,0,0,5,100.0,0,8000,0,9.43,2,11.504308444863113,0
11.289794413577894,0.38,0,0,0,0,1,100.0,0,8000,0,16.02,3,3.332204510175204,1
10.545367754151743,0.79,0,0,0,0,1,100.0,0,27000,1,14.08,3,7.355641102974253,0
10.404293143019792,2.36,0,0,0,0,1,100.0,0,4000,0,9.44,2,7.541683099882111,0
10.34177474101152,29.89,0,0,0,0,4,100.0,0,15000,0,24.85,5,10.194140208432742,0
11.041336579870135,12.76,0,0,0,0,2,100.0,0,1300,0,11.98,2,9.329455852866344,0
11.156264806643742,33.55,0,0,0,0,15,100.0,0,28950,1,11.98,2,10.786986461585292,0
10.714439990727769,23.97,0,0,0,0,5,90.9,0,4500,0,15.05,3,10.530281232546052,0
10.714439990727769,22.19,0,0,0,0,9,97.4,0,3500,0,15.05,3,10.443658363496583,0
12.100717685412471,0.17,1,0,0,0,1,90.9,0,40000,0,7.35,1,6.030685260261263,0
10.915106645867503,29.11,0,0,0,0,7,92.5,0,30000,1,12.62,3,10.802245479117977,0
10.12667110305036,6.72,0,0,0,0,1,96.4,0,8000,0,10.9,2,8.066521490469993,0
11.51293546492023,25.65,2,0,0,0,15,81.8,0,35000,0,16.02,3,11.378593752174936,1
11.461642696843066,27.22,1,0,1,0,7,97.8,1,25000,0,9.93,2,11.63244033347137,0
10.064798252418377,20.4,0,0,0,0,2,100.0,0,12000,0,7.34,1,10.246012860870419,0
11.127277689932466,24.6,0,0,0,0,6,100.0,0,8000,0,7.96,1,11.279592679267674,0
11.346599297129499,26.31,0,0,0,0,5,100.0,0,30000,1,26.77,5,11.614741707104534,1
10.913323270813391,22.47,1,0,1,0,1,93.5,0,8000,0,13.58,3,11.84383942581401,0
10.887971369486664,10.47,0,0,0,0,6,100.0,0,30000,0,18.06,4,9.750394646402302,0
10.541148449877937,26.86,0,0,0,0,3,92.3,0,10000,1,23.88,5,10.688826419085547,0
11.002116507732017,25.28,0,0,0,0,6,96.3,0,20000,1,28.72,6,10.908924048640696,1
